--------------------------------------------------------------------------------
Process info Logger: Mon Jun 10 14:30:13 2024
--------------------------------------------------------------------------------
Error: Exception occurred (schedulefun.<locals>.job_func() takes 0 positional arguments but 1 was given){'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'name': 'System Idle Process'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 11176, 'name': 'powershell.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 11188, 'name': 'Code.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 11212, 'name': 'CCXProcess.exe'}
{'username': None, 'pid': 11348, 'name': 'SecurityHealthService.exe'}
{'username': None, 'pid': 11360, 'name': 'svchost.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 12500, 'name': 'conhost.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 12528, 'name': 'msedge.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 12704, 'name': 'svchost.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 12724, 'name': 'RuntimeBroker.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 12984, 'name': 'SystemSettingsBroker.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 13120, 'name': 'brave.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 13228, 'name': 'WidgetService.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 13232, 'name': 'sihost.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 13588, 'name': 'OmenCommandCenterBackground.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 13592, 'name': 'conhost.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 14212, 'name': 'conhost.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 14256, 'name': 'Code.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 14592, 'name': 'brave.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 14600, 'name': 'node.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 14880, 'name': 'powershell.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 15204, 'name': 'msedge.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 15212, 'name': 'msedge.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 15292, 'name': 'BridgeCommunication.exe'}
{'username': None, 'pid': 15352, 'name': 'svchost.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 15364, 'name': 'Code.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 15532, 'name': 'RuntimeBroker.exe'}
{'username': None, 'pid': 15596, 'name': 'WmiPrvSE.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 15736, 'name': 'svchost.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 16092, 'name': 'msedge.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 16256, 'name': 'explorer.exe'}
{'username': None, 'pid': 16644, 'name': 'NVDisplay.Container.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 17132, 'name': 'msedge.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 17216, 'name': 'PhoneExperienceHost.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 17568, 'name': 'powershell.exe'}
