--------------------------------------------------------------------------------
Process info Logger: Mon Jun 10 13:40:24 2024
--------------------------------------------------------------------------------
log created at EveryMinutes{'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'pid': 0}
{'username': 'LAPTOP\\NAVNATH', 'name': 'svchost.exe', 'pid': 12704}
{'username': 'LAPTOP\\NAVNATH', 'name': 'RuntimeBroker.exe', 'pid': 12724}
{'username': 'LAPTOP\\NAVNATH', 'name': 'SystemSettingsBroker.exe', 'pid': 12984}
{'username': 'LAPTOP\\NAVNATH', 'name': 'brave.exe', 'pid': 13120}
{'username': 'LAPTOP\\NAVNATH', 'name': 'WidgetService.exe', 'pid': 13228}
{'username': 'LAPTOP\\NAVNATH', 'name': 'sihost.exe', 'pid': 13232}
{'username': 'LAPTOP\\NAVNATH', 'name': 'OmenCommandCenterBackground.exe', 'pid': 13588}
{'username': 'LAPTOP\\NAVNATH', 'name': 'conhost.exe', 'pid': 13592}
{'username': 'LAPTOP\\NAVNATH', 'name': 'conhost.exe', 'pid': 14212}
{'username': 'LAPTOP\\NAVNATH', 'name': 'Code.exe', 'pid': 14256}
{'username': 'LAPTOP\\NAVNATH', 'name': 'brave.exe', 'pid': 14592}
{'username': 'LAPTOP\\NAVNATH', 'name': 'node.exe', 'pid': 14600}
{'username': 'LAPTOP\\NAVNATH', 'name': 'powershell.exe', 'pid': 14880}
{'username': 'LAPTOP\\NAVNATH', 'name': 'msedge.exe', 'pid': 15204}
{'username': 'LAPTOP\\NAVNATH', 'name': 'msedge.exe', 'pid': 15212}
{'username': 'LAPTOP\\NAVNATH', 'name': 'BridgeCommunication.exe', 'pid': 15292}
{'username': None, 'name': 'svchost.exe', 'pid': 15352}
{'username': 'LAPTOP\\NAVNATH', 'name': 'Code.exe', 'pid': 15364}
{'username': 'LAPTOP\\NAVNATH', 'name': 'RuntimeBroker.exe', 'pid': 15532}
{'username': 'LAPTOP\\NAVNATH', 'name': 'python.exe', 'pid': 15600}
{'username': 'LAPTOP\\NAVNATH', 'name': 'svchost.exe', 'pid': 15736}
{'username': 'LAPTOP\\NAVNATH', 'name': 'msedge.exe', 'pid': 16092}
{'username': 'LAPTOP\\NAVNATH', 'name': 'explorer.exe', 'pid': 16256}
{'username': 'LAPTOP\\NAVNATH', 'name': 'HPSystemEventUtilityHost.exe', 'pid': 16640}
{'username': None, 'name': 'NVDisplay.Container.exe', 'pid': 16644}
{'username': None, 'name': 'svchost.exe', 'pid': 16920}
{'username': 'LAPTOP\\NAVNATH', 'name': 'msedge.exe', 'pid': 17132}
{'username': 'LAPTOP\\NAVNATH', 'name': 'RuntimeBroker.exe', 'pid': 17140}
{'username': 'LAPTOP\\NAVNATH', 'name': 'PhoneExperienceHost.exe', 'pid': 17216}
{'username': 'LAPTOP\\NAVNATH', 'name': 'powershell.exe', 'pid': 17568}
{'username': 'LAPTOP\\NAVNATH', 'name': 'svchost.exe', 'pid': 17592}
{'username': 'LAPTOP\\NAVNATH', 'name': 'Code.exe', 'pid': 17620}
{'username': 'LAPTOP\\NAVNATH', 'name': 'cmd.exe', 'pid': 17700}
{'username': 'LAPTOP\\NAVNATH', 'name': 'RuntimeBroker.exe', 'pid': 17808}
{'username': 'LAPTOP\\NAVNATH', 'name': 'brave.exe', 'pid': 18020}
{'username': 'LAPTOP\\NAVNATH', 'name': 'msedge.exe', 'pid': 18084}
{'username': 'LAPTOP\\NAVNATH', 'name': 'brave.exe', 'pid': 18252}
{'username': 'LAPTOP\\NAVNATH', 'name': 'brave.exe', 'pid': 18304}
{'username': 'LAPTOP\\NAVNATH', 'name': 'SystemOptimizer.exe', 'pid': 18408}
{'username': 'LAPTOP\\NAVNATH', 'name': 'msedge.exe', 'pid': 18480}
{'username': 'LAPTOP\\NAVNATH', 'name': 'taskhostw.exe', 'pid': 18520}
{'username': 'LAPTOP\\NAVNATH', 'name': 'Widgets.exe', 'pid': 18680}
{'username': 'LAPTOP\\NAVNATH', 'name': 'svchost.exe', 'pid': 18780}
{'username': 'LAPTOP\\NAVNATH', 'name': 'TextInputHost.exe', 'pid': 18800}
{'username': 'LAPTOP\\NAVNATH', 'name': 'StartMenuExperienceHost.exe', 'pid': 18868}
{'username': 'LAPTOP\\NAVNATH', 'name': 'BridgeCommunication.exe', 'pid': 18992}
{'username': 'LAPTOP\\NAVNATH', 'name': 'python.exe', 'pid': 19028}
{'username': None, 'name': 'svchost.exe', 'pid': 19220}
{'username': None, 'name': 'svchost.exe', 'pid': 19228}
{'username': 'LAPTOP\\NAVNATH', 'name': 'python.exe', 'pid': 19380}
{'username': 'LAPTOP\\NAVNATH', 'name': 'conhost.exe', 'pid': 19448}
{'username': 'LAPTOP\\NAVNATH', 'name': 'brave.exe', 'pid': 19528}
{'username': 'LAPTOP\\NAVNATH', 'name': 'msedge.exe', 'pid': 19532}
{'username': 'LAPTOP\\NAVNATH', 'name': 'msedge.exe', 'pid': 19684}
{'username': 'LAPTOP\\NAVNATH', 'name': 'HPSystemEventUtilityBackground.exe', 'pid': 19804}
{'username': 'LAPTOP\\NAVNATH', 'name': 'brave.exe', 'pid': 19876}
{'username': 'LAPTOP\\NAVNATH', 'name': 'Code.exe', 'pid': 20120}
{'username': 'LAPTOP\\NAVNATH', 'name': 'Code.exe', 'pid': 20144}
{'username': None, 'name': 'audiodg.exe', 'pid': 20292}
{'username': 'LAPTOP\\NAVNATH', 'name': 'HPQuickDrop.exe', 'pid': 20444}
{'username': 'LAPTOP\\NAVNATH', 'name': 'brave.exe', 'pid': 20648}
{'username': 'LAPTOP\\NAVNATH', 'name': 'conhost.exe', 'pid': 20852}
{'username': 'LAPTOP\\NAVNATH', 'name': 'RuntimeBroker.exe', 'pid': 21416}
{'username': None, 'name': 'svchost.exe', 'pid': 21432}
