--------------------------------------------------------------------------------
Process info Logger: Mon Jun 10 00:11:47 2024
--------------------------------------------------------------------------------
create logs..{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process'}
{'pid': 13064, 'username': 'LAPTOP\\NAVNATH', 'name': 'Code.exe'}
{'pid': 13168, 'username': None, 'name': 'WmiPrvSE.exe'}
{'pid': 13216, 'username': 'LAPTOP\\NAVNATH', 'name': 'OmenInstallMonitor.exe'}
{'pid': 13592, 'username': 'LAPTOP\\NAVNATH', 'name': 'msedge.exe'}
{'pid': 13764, 'username': 'LAPTOP\\NAVNATH', 'name': 'RuntimeBroker.exe'}
{'pid': 13784, 'username': 'LAPTOP\\NAVNATH', 'name': 'svchost.exe'}
{'pid': 14320, 'username': 'LAPTOP\\NAVNATH', 'name': 'RuntimeBroker.exe'}
{'pid': 14500, 'username': 'LAPTOP\\NAVNATH', 'name': 'SearchHost.exe'}
{'pid': 14624, 'username': 'LAPTOP\\NAVNATH', 'name': 'msedge.exe'}
{'pid': 14672, 'username': 'LAPTOP\\NAVNATH', 'name': 'PAD.Console.Host.exe'}
{'pid': 14696, 'username': None, 'name': 'audiodg.exe'}
{'pid': 14880, 'username': 'LAPTOP\\NAVNATH', 'name': 'conhost.exe'}
{'pid': 15052, 'username': 'LAPTOP\\NAVNATH', 'name': 'brave.exe'}
{'pid': 15140, 'username': 'LAPTOP\\NAVNATH', 'name': 'Video.UI.exe'}
{'pid': 15252, 'username': 'LAPTOP\\NAVNATH', 'name': 'brave.exe'}
{'pid': 15352, 'username': None, 'name': 'svchost.exe'}
{'pid': 15444, 'username': 'LAPTOP\\NAVNATH', 'name': 'brave.exe'}
{'pid': 15680, 'username': 'LAPTOP\\NAVNATH', 'name': 'SnippingTool.exe'}
{'pid': 15692, 'username': 'LAPTOP\\NAVNATH', 'name': 'svchost.exe'}
{'pid': 15912, 'username': 'LAPTOP\\NAVNATH', 'name': 'brave.exe'}
{'pid': 15948, 'username': None, 'name': 'svchost.exe'}
{'pid': 15972, 'username': 'LAPTOP\\NAVNATH', 'name': 'brave.exe'}
{'pid': 16052, 'username': 'LAPTOP\\NAVNATH', 'name': 'sihost.exe'}
{'pid': 16212, 'username': 'LAPTOP\\NAVNATH', 'name': 'msedge.exe'}
{'pid': 16264, 'username': None, 'name': 'csrss.exe'}
{'pid': 16272, 'username': 'LAPTOP\\NAVNATH', 'name': 'powershell.exe'}
{'pid': 16304, 'username': 'LAPTOP\\NAVNATH', 'name': 'dllhost.exe'}
{'pid': 16680, 'username': 'LAPTOP\\NAVNATH', 'name': 'RuntimeBroker.exe'}
{'pid': 17052, 'username': 'LAPTOP\\NAVNATH', 'name': 'msedge.exe'}
{'pid': 17152, 'username': 'LAPTOP\\NAVNATH', 'name': 'msedge.exe'}
{'pid': 17300, 'username': 'LAPTOP\\NAVNATH', 'name': 'SystemSettingsBroker.exe'}
{'pid': 17316, 'username': 'LAPTOP\\NAVNATH', 'name': 'Code.exe'}
{'pid': 17532, 'username': 'LAPTOP\\NAVNATH', 'name': 'Code.exe'}
{'pid': 17728, 'username': None, 'name': 'dwm.exe'}
{'pid': 17744, 'username': 'LAPTOP\\NAVNATH', 'name': 'conhost.exe'}
{'pid': 17940, 'username': 'LAPTOP\\NAVNATH', 'name': 'Code.exe'}
{'pid': 18028, 'username': 'LAPTOP\\NAVNATH', 'name': 'svchost.exe'}
{'pid': 18364, 'username': 'LAPTOP\\NAVNATH', 'name': 'msedge.exe'}
{'pid': 18588, 'username': 'LAPTOP\\NAVNATH', 'name': 'conhost.exe'}
{'pid': 18924, 'username': 'LAPTOP\\NAVNATH', 'name': 'SECOCL64.exe'}
{'pid': 19096, 'username': 'LAPTOP\\NAVNATH', 'name': 'HPSystemEventUtilityBackground.exe'}
{'pid': 19196, 'username': 'LAPTOP\\NAVNATH', 'name': 'taskhostw.exe'}
{'pid': 19220, 'username': 'LAPTOP\\NAVNATH', 'name': 'OverlayHelper.exe'}
{'pid': 19228, 'username': None, 'name': 'svchost.exe'}
{'pid': 19520, 'username': 'LAPTOP\\NAVNATH', 'name': 'SystemOptimizer.exe'}
{'pid': 19528, 'username': 'LAPTOP\\NAVNATH', 'name': 'msedge.exe'}
{'pid': 19852, 'username': 'LAPTOP\\NAVNATH', 'name': 'CCXProcess.exe'}
{'pid': 19952, 'username': 'LAPTOP\\NAVNATH', 'name': 'py.exe'}
{'pid': 20244, 'username': 'LAPTOP\\NAVNATH', 'name': 'Code.exe'}
{'pid': 20320, 'username': 'LAPTOP\\NAVNATH', 'name': 'WindowsTerminal.exe'}
{'pid': 20348, 'username': 'LAPTOP\\NAVNATH', 'name': 'conhost.exe'}
{'pid': 20552, 'username': 'LAPTOP\\NAVNATH', 'name': 'conhost.exe'}
{'pid': 20896, 'username': 'LAPTOP\\NAVNATH', 'name': 'unsecapp.exe'}
{'pid': 20988, 'username': 'LAPTOP\\NAVNATH', 'name': 'cmd.exe'}
{'pid': 21164, 'username': 'LAPTOP\\NAVNATH', 'name': 'ctfmon.exe'}
{'pid': 21404, 'username': 'LAPTOP\\NAVNATH', 'name': 'TextInputHost.exe'}
{'pid': 21476, 'username': 'LAPTOP\\NAVNATH', 'name': 'msedge.exe'}
